	v	d	j	frequency
326	IGHV5-17*01	IGHD1-1*01	IGHJ4*01	319
327	IGHV14-4*02	NA	IGHJ2*01	319
328	IGHV1-72*01	IGHD1-1*01	IGHJ3*01	319
329	IGHV2-3*01	IGHD1-1*01	IGHJ3*01	316
330	IGHV14-1*02	NA	IGHJ3*01	314
331	IGHV2-6-7*01	NA	IGHJ4*01	312
332	IGHV6-6*01	NA	IGHJ3*01	311
333	IGHV5-6-1*01	NA	IGHJ3*01	311
334	IGHV5-6-4*01	NA	IGHJ4*01	310
335	IGHV9-1*02	NA	IGHJ2*01	309
336	IGHV1S22*01	NA	IGHJ3*01	307
337	IGHV1-64*01	IGHD2-6*01	IGHJ3*01	304
338	IGHV5-12-1*01	NA	IGHJ4*01	300
339	IGHV1-19*01	NA	IGHJ3*01	296
340	IGHV6-6*01	NA	IGHJ4*01	292
341	IGHV1-22*01	IGHD2-7*01	IGHJ3*01	291
342	IGHV5-9-1*01	NA	IGHJ4*01	291
343	IGHV1-67*01	NA	IGHJ4*01	291
344	IGHV5-4*01	NA	IGHJ2*01	290
345	IGHV5-6-3*01	NA	IGHJ3*01	281
346	IGHV3-6*01	IGHD1-1*01	IGHJ3*01	280
347	IGHV3-6*01	IGHD2-3*01	IGHJ3*01	280
348	IGHV1S130*01	NA	IGHJ2*01	279
349	IGHV5-6-2*01	NA	IGHJ3*01	279
350	IGHV1-5*01	NA	IGHJ1*01	278
351	IGHV7-3*02	NA	IGHJ1*01	278
352	IGHV3-2*02	IGHD2-14*01	IGHJ3*01	277
353	IGHV1S16*01	NA	IGHJ3*01	277
354	IGHV3-1*02	NA	IGHJ3*01	275
355	IGHV1-69*01	IGHD2-6*01	IGHJ3*01	274
356	IGHV14-2*01	NA	IGHJ1*03	273
357	IGHV1-9*01	IGHD1-1*01	IGHJ4*01	272
358	IGHV7-3*01	NA	IGHJ1*03	272
359	IGHV1S137*01	NA	IGHJ2*01	270
360	IGHV1-63*01	NA	IGHJ4*01	269
361	IGHV5-2*01	NA	IGHJ1*01	268
362	IGHV5-2*01	NA	IGHJ3*01	267
363	IGHV1S56*01	NA	IGHJ2*01	267
364	IGHV1-26*01	IGHD2-9*02	IGHJ3*01	265
365	IGHV5-6-3*01	NA	IGHJ2*01	262
366	IGHV1-9*01	IGHD1-1*01	IGHJ1*01	262
367	IGHV5-9-1*01	NA	IGHJ2*01	261
368	IGHV3-6*02	NA	IGHJ2*01	261
369	IGHV5-7-4*01	NA	IGHJ4*01	260
370	IGHV10-1*02	NA	IGHJ2*01	258
371	IGHV14-4*02	NA	IGHJ3*01	258
372	IGHV1S53*02	NA	IGHJ2*01	258
373	IGHV9-1*02	NA	IGHJ3*01	258
374	IGHV2-2*02	IGHD1-1*01	IGHJ2*01	257
375	IGHV8-8*01	IGHD1-1*01	IGHJ2*01	254
376	IGHV5-4*01	NA	IGHJ4*01	254
377	IGHV14-2*01	IGHD1-1*01	IGHJ4*01	253
378	IGHV7-1*03	NA	IGHJ1*03	252
379	IGHV1S127*01	IGHD1-1*01	IGHJ2*01	251
380	IGHV1-52*01	IGHD1-1*01	IGHJ1*03	249
381	IGHV5-9-4*01	NA	IGHJ4*01	245
382	IGHV1S135*01	NA	IGHJ3*01	244
383	IGHV10-1*01	NA	IGHJ1*03	244
384	IGHV14-4*02	NA	IGHJ4*01	244
385	IGHV5-9*02	NA	IGHJ3*01	243
386	IGHV1-26*01	IGHD1-1*01	IGHJ4*01	242
387	IGHV1-56*01	IGHD1-1*01	IGHJ4*01	241
388	IGHV3-6*02	NA	IGHJ1*01	240
389	IGHV1-52*01	IGHD1-1*01	IGHJ4*01	238
390	IGHV2-9-2*01	NA	IGHJ4*01	238
391	IGHV1-78*01	IGHD1-1*01	IGHJ1*03	237
392	IGHV5-12-1*01	NA	IGHJ3*01	237
393	IGHV9-3-1*01	IGHD2-9*02	IGHJ3*01	236
394	IGHV5-2*01	NA	IGHJ2*01	235
395	IGHV1-34*02	NA	IGHJ4*01	234
396	IGHV5-16*01	NA	IGHJ1*03	233
397	IGHV1-85*01	NA	IGHJ1*03	232
398	IGHV2-6*02	NA	IGHJ4*01	231
399	IGHV2-6-2*01	NA	IGHJ2*01	230
400	IGHV2-6-1*01	NA	IGHJ4*01	229
401	IGHV3-2*02	IGHD1-1*01	IGHJ2*01	229
402	IGHV3-1*01	NA	IGHJ1*03	229
403	IGHV5-9-3*01	NA	IGHJ4*01	228
404	IGHV5-6-3*01	NA	IGHJ4*01	228
405	IGHV10-3*01	NA	IGHJ1*03	228
406	IGHV1S135*01	NA	IGHJ4*01	227
407	IGHV2-5*01	NA	IGHJ1*03	227
408	IGHV13-2*01	NA	IGHJ1*03	225
409	IGHV1-5*01	IGHD1-1*01	IGHJ2*01	225
410	IGHV1S34*01	NA	IGHJ1*01	223
411	IGHV7-3*01	NA	IGHJ4*01	222
412	IGHV1-66*01	NA	IGHJ3*01	222
413	IGHV2-4-1*01	NA	IGHJ4*01	222
414	IGHV1-63*01	NA	IGHJ3*01	221
415	IGHV2-9*02	NA	IGHJ1*01	221
416	IGHV9-1*01	NA	IGHJ1*03	220
417	IGHV1-55*01	IGHD1-1*01	IGHJ3*01	220
418	IGHV1-69*02	IGHD1-1*01	IGHJ2*01	219
419	IGHV1-50*01	IGHD1-1*01	IGHJ1*03	218
420	IGHV1-22*01	IGHD1-1*01	IGHJ2*01	216
421	IGHV1-81*01	NA	IGHJ1*03	214
422	IGHV1-77*01	NA	IGHJ2*01	213
423	IGHV9-2-1*01	NA	IGHJ1*01	211
424	IGHV5-7-4*01	NA	IGHJ3*01	211
425	IGHV1-5*01	NA	IGHJ1*03	209
426	IGHV1S130*01	NA	IGHJ3*01	208
427	IGHV5-9*01	IGHD1-1*01	IGHJ2*01	206
428	IGHV1-59*01	IGHD1-1*01	IGHJ4*01	205
429	IGHV1-69*01	NA	IGHJ2*03	203
430	IGHV7-2*02	NA	IGHJ1*01	203
431	IGHV1-72*01	IGHD2-9*02	IGHJ4*01	202
432	IGHV8-8*01	NA	IGHJ1*01	201
433	IGHV14-1*02	NA	IGHJ4*01	201
434	IGHV5-9-1*01	NA	IGHJ3*01	201
435	IGHV1S56*01	NA	IGHJ3*01	200
436	IGHV4-2*02	NA	IGHJ4*01	199
437	IGHV1S135*01	NA	IGHJ2*01	199
438	IGHV1-63*02	NA	IGHJ4*01	198
439	IGHV1-59*01	NA	IGHJ1*03	197
440	IGHV2-9-1*01	IGHD1-1*01	IGHJ1*03	194
441	IGHV1-19*01	IGHD1-1*01	IGHJ4*01	193
442	IGHV1-36*01	NA	IGHJ4*01	191
443	IGHV1-69*01	IGHD1-1*01	IGHJ1*03	190
444	IGHV1-7*01	NA	IGHJ2*01	190
445	IGHV14-1*01	NA	IGHJ4*01	190
446	IGHV7-2*02	NA	IGHJ3*01	190
447	IGHV1-47*01	NA	IGHJ2*02	189
448	IGHV1-75*01	IGHD2-9*02	IGHJ4*01	188
449	IGHV1-42*01	NA	IGHJ4*01	187
450	IGHV1-76*01	IGHD1-1*01	IGHJ1*03	186
451	IGHV5-2*01	NA	IGHJ4*01	185
452	IGHV9-4*02	NA	IGHJ3*01	185
453	IGHV1-54*01	NA	IGHJ1*03	185
454	IGHV1S34*01	NA	IGHJ4*01	184
455	IGHV1-81*01	NA	IGHJ1*01	184
456	IGHV1-7*01	NA	IGHJ3*01	183
457	IGHV1-81*01	IGHD1-1*01	IGHJ4*01	182
458	IGHV1-74*01	IGHD1-1*01	IGHJ4*01	182
459	IGHV2-6-4*01	NA	IGHJ4*01	182
460	IGHV11-2*01	NA	IGHJ2*01	182
461	IGHV1S137*01	NA	IGHJ3*01	182
462	IGHV6-3*01	NA	IGHJ1*03	181
463	IGHV3-6*01	IGHD1-1*01	IGHJ2*01	181
464	IGHV8-5*01	NA	IGHJ4*01	180
465	IGHV5-12*02	NA	IGHJ4*01	178
466	IGHV8-12*01	NA	IGHJ1*01	177
467	IGHV6-6*02	NA	IGHJ1*01	177
468	IGHV14-4*01	NA	IGHJ2*02	177
469	IGHV1-31*01	IGHD1-1*01	IGHJ4*01	176
470	IGHV1-59*01	IGHD1-1*01	IGHJ1*03	175
471	IGHV7-2*02	NA	IGHJ4*01	174
472	IGHV5-17*02	NA	IGHJ1*01	174
473	IGHV1-80*01	IGHD1-1*01	IGHJ4*01	174
474	IGHV8-8*01	IGHD1-1*01	IGHJ1*03	172
475	IGHV2-9*02	IGHD1-1*01	IGHJ4*01	172
476	IGHV2-6-5*01	NA	IGHJ4*01	168
477	IGHV9-1*01	NA	IGHJ2*01	168
478	IGHV5-9*02	NA	IGHJ2*01	167
479	IGHV5-16*01	IGHD1-1*01	IGHJ4*01	165
480	IGHV14-3*02	NA	IGHJ1*01	165
481	IGHV3-1*02	NA	IGHJ4*01	164
482	IGHV3-2*02	IGHD1-1*01	IGHJ4*01	164
483	IGHV5-4*02	NA	IGHJ2*01	163
484	IGHV8-12*01	IGHD1-1*01	IGHJ1*03	162
485	IGHV1-63*02	NA	IGHJ3*01	162
486	IGHV2-6*03	NA	IGHJ1*03	161
487	IGHV2-3*01	IGHD1-1*01	IGHJ4*01	160
488	IGHV1-69*01	IGHD1-1*01	IGHJ4*01	160
489	IGHV2-2*02	IGHD1-1*01	IGHJ4*01	159
490	IGHV1-19*01	IGHD1-1*01	IGHJ1*03	159
491	IGHV2-6-7*01	NA	IGHJ3*01	156
492	IGHV1-80*01	IGHD1-1*01	IGHJ2*01	155
493	IGHV2-5*01	NA	IGHJ1*01	155
494	IGHV14-3*01	IGHD1-1*01	IGHJ2*01	154
495	IGHV3-1*01	NA	IGHJ3*01	154
496	IGHV1-7*01	NA	IGHJ4*01	154
497	IGHV1S137*01	IGHD1-1*01	IGHJ4*01	153
498	IGHV1S29*02	NA	IGHJ3*01	153
