	v	d	j	frequency
248	Z14214|IGHV1-69*13|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ4*02|Homo	101
249	Z14300|IGHV1-69*10|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	100
250	M99641|IGHV1-18*01|Homo	J00234|IGHD2-15*01|Homo	J00256|IGHJ2*01|Homo	100
251	KC713934|IGHV1-69D*01|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ4*02|Homo	100
252	AB019438|IGHV1-58*02|Homo	NA	X86355|IGHJ6*02|Homo	100
253	M99641|IGHV1-18*01|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ5*02|Homo	100
254	M99642|IGHV1-24*01|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ4*02|Homo	99
255	KF698733|IGHV1-2*04|Homo	NA	J00256|IGHJ4*01|Homo	98
256	HM855457|IGHV1-8*02|Homo	NA	AJ879487|IGHJ6*04|Homo	98
257	X92343|IGHV1-46*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	97
258	L06612|IGHV1-46*03|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ3*02|Homo	96
259	L06612|IGHV1-46*03|Homo	NA	J00256|IGHJ1*01|Homo	96
260	Z12367|IGHV4-38-2*01|Homo	NA	X86355|IGHJ4*02|Homo	96
261	X62106|IGHV1-2*02|Homo	X97051|IGHD2-21*02|Homo	X86355|IGHJ5*02|Homo	94
262	KC713948|IGHV1-69*14|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	92
263	X92343|IGHV1-46*01|Homo	X13972|IGHD3-10*01|Homo	X86356|IGHJ6*03|Homo	92
264	HM855463|IGHV1-18*03|Homo	NA	X86355|IGHJ4*02|Homo	91
265	M99642|IGHV1-24*01|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ4*02|Homo	91
266	AB019438|IGHV1-58*02|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ3*02|Homo	90
267	KF698734|IGHV1-69-2*01|Homo	NA	J00256|IGHJ2*01|Homo	90
268	M99641|IGHV1-18*01|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ5*02|Homo	89
