	v	d	j	frequency
150	AM940222|IGHV4-39*07|Homo	NA	X86355|IGHJ5*02|Homo	21
151	M77329|IGHV3-30*17|Homo	NA	J00256|IGHJ5*01|Homo	21
152	M77335|IGHV3-33*04|Homo	NA	J00256|IGHJ3*01|Homo	21
153	AC244492|IGHV3-23D*01|Homo	NA	J00256|IGHJ4*01|Homo	21
154	AC245243|IGHV3-30-5*02|Homo	NA	AJ879487|IGHJ6*04|Homo	21
155	X05713|IGHV4-4*01|Homo	NA	J00256|IGHJ1*01|Homo	20
156	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ3*02|Homo	20
157	HM855577|IGHV3-9*02|Homo	NA	X86355|IGHJ5*02|Homo	20
158	X07448|IGHV1-2*01|Homo	NA	J00256|IGHJ5*01|Homo	20
159	X92271|IGHV4-31*07|Homo	NA	J00256|IGHJ1*01|Homo	20
160	M99658|IGHV3-21*02|Homo	NA	AJ879487|IGHJ6*04|Homo	20
161	AB019437|IGHV4-61*08|Homo	NA	X86355|IGHJ4*02|Homo	20
162	L06617|IGHV3-30*06|Homo	NA	X86355|IGHJ6*02|Homo	20
163	AB019437|IGHV3-66*03|Homo	NA	J00256|IGHJ4*01|Homo	20
164	M77302|IGHV3-30-3*02|Homo	NA	J00256|IGHJ2*01|Homo	20
165	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ5*01|Homo	20
166	AB019437|IGHV3-64*02|Homo	NA	J00256|IGHJ5*01|Homo	20
167	AB019437|IGHV2-70*13|Homo	NA	J00256|IGHJ3*01|Homo	20
168	X70208|IGHV3-66*04|Homo	NA	J00256|IGHJ4*01|Homo	20
169	M99641|IGHV1-18*01|Homo	NA	X86355|IGHJ6*02|Homo	20
170	M77338|IGHV3-30*12|Homo	NA	AJ879487|IGHJ6*04|Homo	20
171	KC713948|IGHV1-69*14|Homo	NA	M25625|IGHJ4*03|Homo	20
