	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
IGHV4-6*01__________NA__________IGHJ2-4*01	NA	NA	NA	NA	NA	2.0	3.0	NA	NA	NA	NA	1.0	3.0	1.0	NA	3.0	2.0
IGHV4-6*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	3.0	1.0	NA	1.0	NA
IGHV4-8*01__________NA__________IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
IGHV4-8*01__________NA__________IGHJ2-1*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	2.0	1.0	NA	1.0	NA	NA	1.0	1.0
IGHV4-8*01__________NA__________IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	NA	12.0	NA	1.0	NA	NA	NA	2.0	1.0	1.0	1.0
IGHV4-8*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	7.0
IGHV4-8*01__________NA__________IGHJ2-4*01	NA	NA	NA	1.0	1.0	NA	NA	1.0	NA	4.0	1.0	NA	1.0	NA	NA	NA	NA
IGHV4-8*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	1.0	NA	NA	2.0	NA	NA	NA	1.0	2.0	1.0	3.0	2.0	NA
IGHV4-9*01__________IGHD1-2*01__________IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA
IGHV4-9*01__________NA__________IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
IGHV5-1*01__________NA__________IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV5-1*01__________NA__________IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
IGHV5-2*01__________NA__________IGHJ2-1*01	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV5-2*01__________NA__________IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
