	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
141	IGHV2-1*01	IGHD2-5*01	IGHJ2-4*01	2.0	NA	NA	NA	23.0	NA	NA	NA	2.0	NA	4.0	1.0	6.0	27.0
142	IGHV2-1*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	1.0	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA	NA
143	IGHV2-1*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
144	IGHV2-1*01	NA	IGHJ2-1*01	812.0	704.0	588.0	566.0	585.0	30.0	677.0	622.0	542.0	1703.0	1196.0	1498.0	4790.0	1558.0
145	IGHV2-1*01	NA	IGHJ2-2*01	75.0	148.0	84.0	45.0	106.0	11.0	275.0	97.0	53.0	55.0	209.0	230.0	207.0	9.0
146	IGHV2-1*01	NA	IGHJ2-3*01	4.0	NA	5.0	NA	2.0	NA	22.0	2.0	1.0	2.0	NA	6.0	3.0	NA
147	IGHV2-1*01	NA	IGHJ2-4*01	187.0	197.0	11018.0	170.0	127.0	11.0	549.0	153.0	176.0	625.0	363.0	249.0	382.0	31.0
148	IGHV2-1*01	NA	IGHJ2-5*01	114.0	186.0	115.0	105.0	128.0	35.0	234.0	201.0	84.0	129.0	217.0	126.0	170.0	353.0
149	IGHV2-2*01	IGHD1-2*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
150	IGHV2-2*01	IGHD2-4*01	IGHJ2-1*01	3.0	16.0	1.0	1.0	2.0	NA	3.0	1.0	NA	1.0	NA	1.0	1.0	NA
151	IGHV2-2*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
152	IGHV2-2*01	IGHD2-4*01	IGHJ2-4*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
153	IGHV2-2*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
154	IGHV2-2*01	IGHD2-5*01	IGHJ2-1*01	6.0	2.0	3.0	NA	3.0	NA	NA	NA	4.0	NA	NA	2.0	20.0	NA
155	IGHV2-2*01	IGHD2-5*01	IGHJ2-4*01	3.0	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	20.0	1.0	NA
156	IGHV2-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA
